Basque (eu),Spanish (es),Spanish_Translation
"Autonomoa, enpresaburua, abokatua, merkataria, freelancea, arkitektoa, programatzailea, aholkulari fiskala… zarena zarela ere, zeure kabuz lan egiten duzun emakumea bazara, anima zaitez!","Para quién: autónoma, empresaria, artista, abogada, comerciante, freelance, arquitecta, programadora, asesora fiscal, …seas quien seas, si trabajas por tu cuenta, ¡anímate!","Autonómico, empresario, abogado, comerciante, freelance, arquitecto, programador, asesor fiscal... ¡si eres una mujer que trabajas por tu cuenta, anímate!"
"FSFk gainera programatzaileak kontratu zituen GNU proiektuan lan egiteko, baina garapenaren zati handi bat (eta honela jarraitzen du izaten) boluntarioek egin zuten.","La FSF también contrató programadores para contribuir a GNU, aunque una porción sustancial del desarrollo fue (y continúa siendo) producida por voluntarios.","La FSF había contratado además a los programadores para trabajar en el proyecto GNU, pero buena parte del desarrollo (y sigue siendo así) lo hicieron voluntarios."
Erabili Hootsuite bezalako programatzaileak zure mezuak antolatzeko.,Usa programadores como Hootsuite para programar tus publicaciones.,Utiliza programas como Hootsuite para organizar tus mensajes.
"Batzorde hori Koldo Almandoz zinemagile eta kazetariak, Özge Calafato kazetari eta zinema-programatzaileak, Alexei Dmitriev zinemagileak eta Guillermo G. Peydró zinemagileak osatzen dute.","Este comité está integrado por el cineasta y periodista Koldo Almandoz, la periodista y programadora de cine Özge Calafato, el cineasta Alexei Dmitriev y el cineasta Guillermo G. Peydró.","Esta comisión está formada por el cineasta y periodista Koldo Almandoz, el periodista y programador de cine ugatzge Calafato, el cineasta Alexei Dmitriev y el cineasta Guillermo G. Peydró."
"Carlos Romero Nave 9 aretoaren arduraduna da. Musika-programatzailea da, eta ibilbide aitortua du Bilboko musikaren esparruan.","Carlos Romero, es el responsable de Nave 9, programador musical del Museo y que cuenta con una reconocida trayectoria en ámbito musical de Bilbao.","Carlos Romero Nave es responsable de la sala 9, programadora musical con un recorrido reconocido en el ámbito de la música de Bilbao."
"Horretarako, ilustratzaileak eta programatzaileak, idazleak eta irakurleak, jokalariak eta kontalariak jarriko dituzte harremanetan.","Para ello, contarán con la participación de ilustradores y programadores; escritores y lectores; jugadores...","Para ello, se pondrá en contacto a ilustradores y programadores, escritores y lectores, jugadores y narradores."
PLC Programazioa Berritek esperientziadun programatzaileak edo PLC PLC talde bat du.,Programación de PLC Berritek cuenta con un experimentado equipo de programadores de autómatas o PLCs.,La Programación PLC Berrit cuenta con un programador con experiencia o grupo PCC.
"Plataformak mahaigaineko aplikazioentzat komunak diren zerbitzuak eskaintzen ditu, programatzaileari bere aplikazioaren kodigo zehatzean lan egitea errazten, gainontzeko programazioa plataformak berak eskaintzen baitu.","La plataforma ofrece servicios reusables comunes para las aplicaciones de escritorio, permitiendo a los desarrolladores centrarse en la lógica de sus aplicaciones.","La plataforma ofrece servicios comunes a las aplicaciones del escritorio, facilitando al programador el trabajo en el código específico de su aplicación, ya que el resto de programación lo ofrece la propia plataforma."
"Ez dira bateraezinak, programatzailearen ikuspuntutik biak eman daitezke aldi berean.","Creo que no son incompatibles, que pueden coexistir desde el punto de vista del programador.","No son incompatibles, pueden darse ambas a la vez desde el punto de vista del programador."
Ekintza honek programatzaileak korporaziotik at lagatzen ditu.,"En efecto, esto deja a los programadores fuera de la compañía.",Esta acción deja fuera de la corporación a los programadores.
Bertsio eskuragarri daude sistema sustatzaile eta programatzaileak .,Las versiones están disponibles para los desarrolladores de sistemas y programadores .,Las versiones disponibles son los sistemas promotores y programadores.
"John Hall (Sarean, ""Maddog"" ezizenez ezaguna) ingeniari eta programatzailea software askearen eremuan pertsonaiarik nabarmenenetako bat izateaz gainera, horren hedakuntzan aktibista historikoa da.","John Hall, conocido en la Red por el apodo ""Maddog"", ingeniero y programador legendario, es una de las personalidades más relevantes en el ámbito del software libre y un histórico activista en su difusión.","El ingeniero y programador John Hall, conocido como ""Maddog"", además de uno de los personajes más destacados en el campo del software libre, es un activista histórico en su difusión."
"Iturburu-programa itzuli eta era iraunkorrean konpilazioan sortzen den objektu-kodea grabatu beharrean, programatzaileak soilik iturburu programa eta prozesatuko diren datuak soilik kargatzen ditu konputagailuan.","En lugar de traducir el programa fuente y grabar en forma permanente el código objeto que se produce durante la compilación para utilizarlo en una ejecución futura, el programador solo carga el programa fuente en la computadora junto con los datos que se van a procesar.","En lugar de traducir el programa fuente y grabar el código objeto que se produce en la compilación de forma sostenible, el programador sólo carga en su equipo el programa fuente y los datos que se procesarán."
"Kultura hartan, softwarearen programatzaileak eta garatzaileak beraien artean libreki programak elkartrukatzea arrunta zen.","En dicha cultura, era común que los programadores y desarrolladores de software compartieran libremente sus programas unos con otros.","En aquella cultura, el intercambio de programas libremente entre los programadores y desarrolladores del software era común."
"Profesioak urteak eta urteak daramatza lanean (sortzaileak eta konpainiak aipatzeaz gain, kudeatzaileak eta programatzaileak ere aipatu nahi ditut), jendearekin konprometituta, gogotik lanean kreazioak eta programazioak aurrera ateratzeko ahaleginetan eta, egia da, hogeita hamar urte pasa eta gero agertoki ugari ditugu eta maila artistiko ona lortu dugu, baina, hori, gaur, ez da nahikoa.","La profesión (y me refiero no solo a creadores o compañías sino también a gestores y programadores) lleva años comprometida en su trabajo, comprometida con el público, dejándose la piel en sus creaciones y programaciones y, es verdad, después de treinta años contamos con un importante número de escenarios y hemos alcanzado un buen nivel artístico pero, esto, hoy, no es suficiente.","La profecía lleva trabajando años y años (no sólo hace mención de creadores y compañías, sino también de gestores y programadores), comprometidos con la gente, tratando de sacar adelante las creaciones y programaciones, y es cierto que después de treinta años tenemos muchos escenarios y hemos alcanzado un buen nivel artístico, pero eso hoy no es suficiente."
"1972: Karen Spärck Jones (1935etik 2007 arte), informazioaren berreskuratzean eta lengoaia naturalaren prozesamenduan aitzindaria. 1979: Carol Shaw (?), Joko-diseinatzailea eta programatzailea Atari Corp. eta Activision enpresetan.","1972: Karen Spärck Jones, pionera de recuperación de información y procesamiento del convirtiéndose de ese modo en la primera mujer diseñadora de videojuegos por sus trabajos Polo, que finalmente no llegó a publicarse, quedándose en mero prototipo.[18]","1972: Karen Spärck Jones (desde 1935 hasta 2007), pionera en la recuperación de la información y procesamiento del lenguaje natural. 1979: Carol Shaw (?), diseñador y programador de juegos en las empresas Portal Corp. y Activision."
Analista eta programatzaileen arteko komunikazio arazoa dela eta (dokumentu bat ez da nahikoa zer egin nahi den azaltzeko) beste lan kategoria bat sortu zen analista-programatzailea deiturikoa.,"De manera que la lo que se quiere hacer) dio origen a una categoría de profesional intermedia, denominada analista-programador.",Debido al problema de comunicación entre analistas y programadores (un documento no es suficiente para explicar lo que se quiere hacer) surgió otra categoría de trabajo llamada analista programadora.
"Mar de Platako (Argentina) zinemaldiko programatzailea denez, bere esperientziaz arituko da eta 90. hamarkada amaieratik gaur arte zinema argentinarraren ibilbidea erakusteko film zatiak proiektatuko ditu.","Como es programadora del festival de Mar de Plata, hablará de su experiencia allí y mostrará fragmentos que muestren la trayectoria del cine argentino desde finales de los noventa hasta la actualidad.","Como programador del Festival de Cine de Mar de Plata (Argentina), ofrecerá desde finales de la década de los 90 fragmentos de películas para mostrar la trayectoria del cine argentino."
"Fedea dugu lankidetzan eta hainbat eremutako profesionalekin partekatzen dugu gure lana (argazkilariak, programatzaileak, arkitektoak, ilustratzaileak, idazleak...), proiektuak eskatzen duenean.","Creemos en la colaboración y compartimos nuestro trabajo con profesionales de diversos ámbitos (fotógrafos, programadores, arquitectos, ilustradores, escritores…), cuando el proyecto lo requiere.","Tenemos fe en la colaboración y compartimos nuestro trabajo con profesionales de diferentes ámbitos (fotografías, programadores, arquitectos, ilustradores, escritores...) cuando el proyecto lo requiere."
"Oro har, erabat burututako lanak izaten dira, orotariko sektoreetan: programatzaileak, web-orrien diseinatzaileak eta baita edukien idazlariak ere izaten dira.","Por lo general, se trata de encargos “llave en mano” en sectores muy diferentes: desde programadores hasta diseñadores de páginas web o redactores de contenidos.","En general, son trabajos totalmente realizados en todos los sectores: programadores, diseñadores de páginas web, así como escribas de contenidos."
"Iparraldeko euskal dantza munduko eragileen errepertorioa kategoriatan sailkatuak (taldeak, koregrafoak, programatzaileak, formatzaileak, baliabide zentroak...).","Todo un repertorio de actores de la danza vasca en el País Vasco norte (coreógrafos y compañías, programadores, centros de recursos...).","El repertorio de los actores del mundo de la danza vasca en Iparralde se clasifica en categorías (grupos, coreógrafos, programadores, formadores, centros de recursos...)."
"Azokarako akreditazioa nahi duten profesionalentzat da izen-ematea (programatzaileak, konpainiak, banatzaileak, prentsa, erakundeak...).","Esta inscripción es para aquellos/as profesionales (programadores, compañías, distribuidores, prensa, instituciones…) que quieran acreditarse en la Feria.","La inscripción es para los profesionales que deseen acreditación para la feria (programadores, compañías, distribuidores, prensa, instituciones...)."
"Gigalight ECOC 2016n Cloud Programatzailea erakutsi du Shenzhen, Txina, iraila 28, 2016 - ECOC 2016 urteko ekitaldia C Convention C ospatu zen...","Shenzhen, China, septiembre 28, 2016 - El gran evento anual ECOC 2016 se realizó en la Convención C...","Gigalight ECOC 2016 muestra al Programador Cloud en Shenzhen, China, 28 septiembre, 2016 - ECOC 2016, un evento anual celebrado en C Convention C..."
"Gigalight Interkonexio optikoko diseinu optiko orokorra da, diseinatu, fabrikatu eta hornitzen dituena Transkriptore optikoak, osagai pasiboak, kable optiko aktiboak, MTP / MPO kableak, laino programatzaileak eta zuzentzaileak, eta modulu optiko koherenteak eta abar, hiru aplikazio nagusi: Data Center eta Cloud Computing, Metro & Broadcast Network, eta Wireless & 5G Optical Network.","Quienes Somos Gigalight Gigalight es un innovador de diseño de interconexión óptica global que diseña, fabrica y suministra transceptores ópticos, componentes pasivos, cables ópticos activos, Cableado MTP / MPO, programadores y verificadores en la nube y módulos aprovecha las ventajas del diseño exclusivo para proporcionar a los clientes dispositivos de red óptica de ventanilla única y productos rentables.","Gigalight es un diseño óptico general de interconexión óptica que diseña, fabrica y proporciona transcriptores ópticos, pasivos, cables ópticos activos, MTP / MPO cables, nieblas programadoras y correctoras, y módulos ópticos coherentes, etc., tres aplicaciones principales: Data Center y Cloud Computing, Metro & Broadcast Network, y Wireless & 5G Optical Network."
"Dakigunez, Moodle eten gabe garatzen ari den elkarlana da eta hainbat programatzaileak ezartzen dizkiete ondoren Moodle-ren bertsio berriak osatuko dituzten modulu berriak.",Como sabemos Moodle es un proyecto colaborativo en constante desarrollo al que diferentes programadores incluyen módulos nuevos que con el tiempo generan nuevas versiones de Moodle.,"Como sabemos, Moodle es una colaboración que se está desarrollando ininterrumpidamente y que les impone varios programadores, tras lo cual, los nuevos módulos que van a configurar las nuevas versiones de Moodle."
"Gigalight Bezeroentzako software liburuaren bertsio publikoetako bertsioa eskaintzen du dohainik, hodei-programatzailea erosten duzunean, doan eskuratu dezakezu bateragarritasun-kode publiko guztiak Gigalight Hodeiko zerbitzaria, eta kodeak datu-basean eguneratu egingo dira.","Gigalight proporciona la versión de códigos de compatibilidad pública del software cliente de forma gratuita; una vez que compra el programador en la nube, puede obtener de forma gratuita todos los códigos de compatibilidad públicos almacenados en Gigalight Servidor en la nube, y los códigos se mantendrán actualizados en la base de datos.","Gigalight ofrece gratuitamente la versión de las versiones públicas del software para clientes, cuando compre el programador de nubes, puede obtener gratuitamente todos los códigos públicos de compatibilidad como servidor de Nube Gigalight y los códigos se actualizarán en la base de datos."
"2019ren udaberriaren hasieran eta 5G-en, Wuhan-en hegoalderantz Gigalight Teknologia Zentroa, Shenzhen Teknologia Zentroa eta konpainiaren marketin zentroak gurekin bat egiteaz gain, hurrengo bost urteko komunikazio optikoko negozioen aurrerapen handia diseinatu, fabrikatu eta hornitzen dituena Transkriptore optikoak, osagai pasiboak, kable optiko aktiboak, MTP / MPO kableak, laino programatzaileak eta zuzentzaileak, eta modulu optiko koherenteak eta abar, hiru aplikazio nagusi: Data Center eta Cloud Computing, Metro & Broadcast Network, eta Wireless & 5G Optical Network.","Al comienzo de la primavera de 2019 y el auge de 5G, Wuhan Gigalight El Centro de Tecnología, el Centro de Tecnología de Shenzhen y el centro de mercadeo de la compañía esperan que usted se una a nosotros y logre el gran avance de los próximos cinco años en el negocio de la comunicación óptica en el Gigalight. Quienes Somos Gigalight Gigalight es un innovador de diseño de interconexión óptica global que diseña, fabrica y suministra transceptores ópticos, componentes sCompetitividad del núcleoTrabajosContáctenos Comunidad","Además de compartir con nosotros el Centro Tecnológico Gigalight de Wuhan, el Centro Tecnológico Shenzhen y los centros de marketing de la compañía, en el inicio de la primavera de 2019 y en el sur de Wuhan, diseñan, fabrican y abastecen el gran progreso de los negocios de comunicación óptica durante los próximos cinco años, fabrican transcriptores ópticos, elementos pasivos, cables ópticos activos, MTP/ MPO, nieblas programadoras y correctoras, y módulos ópticos coherentes, etc., tres principales aplicaciones: Fecha Center y Cloud Com"
"Gure proiektuetan, diseinu-prozesuak irekitzen saiatzen gara, rol eta dikotomia tradizionalak (diseinatzailea – erabiltzailea – programatzailea – publikoa, administrazioa – herritarra, hezitzailea – ikaslea) hackeatuz, bottom up logikatik (edo behetik gorako logika) abiatuta.","En nuestros proyectos tratamos de abrir los procesos de diseño hackeando los roles y dicotomías tradicionales (diseñador/a – usuario/a, programador/a – público, administración – ciudadanía, educador/a – alumno/a) desde una lógica bottom-up o de abajo hacia arriba.","En nuestros proyectos tratamos de abrir los procesos de diseño, partiendo de la lógica bottom up (o lógica superior)."
"Zure landareak ureztatzeko beharrezko osagarri guztiak, mahuka edo garaztailuak, lorategirako ureztatze sistemak, programatzaileak, oporretarako ureztatze sistemak, ihiztailuak, lainoztagailuak, eta askoz gehiago.","Una completa sección dedicada al riego donde encontrarás desde regaderas o mangueras, hasta el jardín, programadores, riego para vacaciones, riego por goteo, accesorios para riego, aspersores, pulverizadores y mucho más.","Todos los accesorios necesarios para el riego de tus plantas, mangas o cebadas, sistemas de riego para el jardín, programadores, sistemas de riego para vacaciones, juncales, nieblas, y mucho más."
CNCko programatzailea.,Programador de CNC.,Programador de CNC.
"Ling Tan diseinatzailea, sortzailea eta programatzailea da.","Ling Tan es diseñadora, creadora y programadora.","Ling Tan es diseñador, creador y programador."
"Datu zentroan ezinbesteko helburuen arabera, Gigalight Internet bidezko operadoreak kable bidezko eta kudeaketa optikoko irtenbide eraginkor eta kostu txikiko irtenbideak eskaintzen ditu, konexio optikoa, seinaleen azterketa eta jarraipena, datu zentroen abiadura optikoa berritzea eta lotura zirkuituaren automatizazio hornitzen dituena Transkriptore optikoak, osagai pasiboak, kable optiko aktiboak, MTP / MPO kableak, laino programatzaileak eta zuzentzaileak, eta eta abar, hiru aplikazio nagusi: Data Center eta Cloud Computing, Metro & Broadcast Network, eta Wireless & 5G Optical Network.","Gigalight los productos ingeniería de centros de datos. Por el objetivo vital en el centro de datos, Gigalight se esfuerza por brindar a los operadores de Internet una solución efectiva y de bajo costo de cableado y gestión óptica, interconexión óptica, prueba y monitoreo de señales, actualización fluida de la velocidad óptica del centro de datos y vigilancia de automatización del circuito de enlace.","En el centro de datos, el operador por Internet Gigalight ofrece soluciones eficientes y de bajo coste a través del cable y la gestión óptica, de conexión óptica, de análisis y seguimiento de señales, de renovación de la velocidad óptica de los centros de datos y de automatización del circuito de conexiones, de transcriptores ópticos, de componentes pasivos, de cables ópticos activos, MTP / MPO de cable, de nieblas programadoras y correctoras, etc., tres aplicaciones principales: Fecha Center y Cloudting, Metro & Broadcast Network, y Wireles"
"Ongi etorri harpidetzeko Gigalight5G buruzko informazio gehiago lortzeko mota ezberdinak diseinatu, fabrikatu eta hornitu ditugu, besteak beste, transceiver optikoak, osagai optiko pasiboak, optikozko kable aktiboak, MTP / MPO kableak eta hodei-programatzaileak eta zuzentzaileak, eta abar.","Diseñamos, fabricamos y suministramos varios tipos de productos de interconexión óptica, incluidos transceptores ópticos, componentes ópticos pasivos, cables ópticos activos, cableado MTP / MPO y programadores y verificadores en la nube, etc.","Hemos diseñado, fabricado y abastecido diferentes tipos de información sobre Gigalight5G de suscripción, como transceivers ópticos ópticos pasivos, cables activos ópticos, MTP / MPO y programadores de nubes y correctores, etc."
Analista eta programatzaileen arteko komunikazio arazoa dela eta (dokumentu bat ez da nahikoa zer egin nahi den azaltzeko) beste lan kategoria bat sortu zen analista-programatzailea deiturikoa.,"Hoy día se reconoce que este enfoque no es válido para organizar tareas de tipo intelectual, como es el desarrollo de describir lo que se quiere hacer) dio origen a una categoría de profesional intermedia, denominada analista-programador.",Debido al problema de comunicación entre analistas y programadores (un documento no es suficiente para explicar lo que se quiere hacer) surgió otra categoría de trabajo llamada analista programadora.
"Horrez gain, Le Cain zinema-programatzailea eta kritikaria da.",Le Cain también es programador de Cine y crítico.,"Además, Le Cain es programador y crítico de cine."
"1965:Mary Allen Wilkes, ordenagailu-programatzailea, etxean ordenagailu bat erabili zuen lehen pertsona eta lehen miniordenagailurako (LINC) sistema eragile bat (LAP) garatu zuen lehen pertsona.","1965: Mary Allen Wilkes, fue la primera en crear y trabajar con una computadora privada desde su casa, lo cual hace que se le considere la primera usuaria de una estas computadoras.","1965: Mary Allen Wilkes, programadora de ordenadores, primera persona que desarrolló un ordenador en su casa y un sistema operativo (LAP) para el primer miniordenador."
"Musika-programatzaileak Musika-programatzaileak Euskal AEn kokatutako erakunde publiko edo pribatuak dira, musikari profesionalen kontzertuak antolatzen dituztenak.","Se definen como programadores musicales las entidades públicas o privadas, con sede en la C.A. de Euskadi, que organizan conciertos de músicos profesionales.","Los programadores musicales son entidades públicas o privadas ubicadas en la C.A. de Euskadi, donde se organizan conciertos de músicos profesionales."
"Azken hamar urteotan, artista, kritikari zein programatzaileak diskurtso-ekoizpenerako baldintza berriak sortzeko aritu dira lanean.","En los últimos diez años, los artistas, críticos y programadores han estado invirtiendo en el establecimiento de nuevas condiciones para la producción de discurso.","En los últimos diez años, artistas, críticos y programadores han trabajado para crear nuevas condiciones para la producción del discurso."
"Albisteak Larraioz enpresa gipuzkoarrak Diasporako teknikari, ingeniari eta programatzaileak eskatzen ditu; CVak urriaren 31era arte","Noticias La empresa vasca Larraioz Elektronika busca en la Diáspora técnicos/as, ingenieros/as y programadores/as; envío de CVs hasta el 31/10","Noticias de la empresa guipuzcoana Larraioz solicita técnicos, ingenieros y programadores de la Diáspora, hasta el 31 de octubre"
"Espainiako eta Latinoamerikako programatzaileak izango dira Richard García eta Raúl Porterok zuzendu, idatzi eta protagonizatutako filmaren emanaldian.","españoles y latinoamericanos asistirán a la proyección del filme dirigido por Richard García y Raúl Portero, que también han escrito y protagonizado la película.","Los programadores de España y América Latina serán dirigidos, escritos y protagonizados por Richard García y Raúl Portero."
"Ongi diseinatu, fabrikatu eta hornitzen dituena Transkriptore optikoak, osagai pasiboak, kable optiko aktiboak, MTP / MPO kableak, laino programatzaileak eta zuzentzaileak, eta modulu optiko koherenteak eta abar, hiru aplikazio nagusi: Data Center eta Cloud Computing, Metro & Broadcast Network, eta Wireless & 5G Optical Network.","Quienes Somos Gigalight Gigalight es un innovador de diseño de interconexión óptica global que diseña, fabrica y suministra transceptores ópticos, componentes pasivos, cables ópticos activos, Cableado MTP / MPO, programadores y verificadores en la nube y módulos ópticos coherentes etc. para tres aplicaciones principales: USB","Diseño, fabricación y aprovisionamiento de transcriptores ópticos, componentes pasivos, cables ópticos activos, MTP / MPO cables, nubes programadoras y correctoras, y módulos ópticos coherentes, etc., tres aplicaciones principales: Fecha Center y Cloud Computing, Metro & Broadcast Network, y Wireless & 5G Optical Network."
Analista eta programatzaileen arteko komunikazio arazoa dela eta (dokumentu bat ez da nahikoa zer egin nahi den azaltzeko) beste lan kategoria bat sortu zen analista-programatzailea deiturikoa.,"Las dificultades de comunicación entre analistas y programadores (un mero documento no basta para describir lo que se quiere hacer) dio origen a una categoría de profesional intermedia, denominada analista-programador.",Debido al problema de comunicación entre analistas y programadores (un documento no es suficiente para explicar lo que se quiere hacer) surgió otra categoría de trabajo llamada analista programadora.
"Aurten, 25.urteurrena ospatzen da eta Tabakaleratik Anna Solà, Marta Selva (ko-zuzendariak) eta Marta Nieto (programatzailea) gonbidatu ditugu saioa aurkez dezaten.","Este año el festival cumple 25 años y desde Tabakalera invitamos a Anna Solà, Marta Selva (co-directoras) y Marta Nieto (directora de programación) a que nos presenten el festival.","Este año se celebra el 25 aniversario y hemos invitado a Anna Solà desde Tabakalera, Marta Selva (directores de euskera) y Marta Nieto ( programadora)."
"ROCE 2014 Topaketa kontzertu didaktikoak eta hezkuntza zein musikaren hedakuntzarekin harremandutako bestelako jarduerak sortu eta antolatzearekin interesaturiko erakunde, profesional eta pertsonak biltzeko gune irekia da: interpretatzaileak (musikariak, zuzendariak, aktoreak,...), irakasleak, programatzaileak, kudeatzaileak, musika ikasleak eta abar; eta baita ikuslegoa ere.","El Encuentro ROCE 2014 es un espacio abierto para reunir a instituciones, entidades, profesionales y personas interesadas en la creación y organización de conciertos didácticos y otras educación y difusión musical: intérpretes (músicos, directores, actores/actrices,...), docentes, programadores, gestores, estudiantes de música, etc., así como público en general.","El ROCE 2014 es un espacio abierto para reunir a las entidades, profesionales y personas interesadas en la creación y organización de conciertos didácticos y otras actividades relacionadas con la difusión educativa y musical: intérpretes (músicos, directores, actores...), profesores, programadores, gestores, estudiantes de música, etc. y público."
"Programatzaileak arazoa konpontzeko gaitasuna eduki arren eta hura konpondu nahi izango bazuen ere ordainean ezer eskatu gabe, kontratuak ez zion uzten softwarea hobetzen.","Aunque el programador estuviese capacitado para solucionar el problema y lo desease hacer sin pedir nada a cambio, el contrato le impedía que modificase el software.","A pesar de que el programador tenía la capacidad de resolver el problema y de tratar de solucionarlo sin exigir nada a cambio, el contrato no le permitía mejorar el software."
"[Diru horrekin, kazetariari, programatzaileari eta bistaratzaileari ordainduko zaie] SUTEEN INGURUKO GASTUAK AUTONOMIA-ERKIDEGOAREN ARABERA.","[Con este dinero se pagará al periodista, al programador y al visualizador] GASTO EN INCENDIOS POR COMUNIDAD AUTONOMA.","[Con este dinero, se abonarán al periodista, programador y visualizador] LOS GASTOS DE INCENDIOS EN AUTÓNOMIA."
Kategoria:Bideojoko programatzaileak Wikipedia(e)tik,Categoría:Programas de radio de Filipinas,Categoría: Programadores de videojuegos desde Wikipedia
"José Julián Bakedanok, zinemagile, kritikari, saiakera-idazle eta programatzaileak, Santos Zunzunegik «zinema-gizon» gisa definituak, hiru esparru landu ditu nagusiki: zinema, artea (oro har) eta euskal kultura. Haren ikus-entzunezko lanetan esperimentazioa, fikzioa eta dokumentalak aurkituko ditugu. Proiekzioak","Cineasta, crítico, ensayista, programador, José Julián Bakedano, como lo define Santos Zunzunegui, es «un hombre de cine» que ha desarrollado su trabajo en relación a tres campos de su predilección, el cine, el arte en muy diversa, discurre de lo experimental a la ficción, pasando por el documental. Proyecciones","José Julián Bakedano, cineasta, crítico, ensayista y programador, definido por Santos Zunzunegi como ""el hombre del cine"", ha desarrollado tres ámbitos: el cine, el arte (en general) y la cultura vasca. En sus obras audiovisuales encontraremos experimentación, ficción y documentales."
"Informatikaren garapenean ekarpenak egin dituzten emakumeei omenaldi gisa, merezi zuten aintzatespena jaso ez zutelako, eta lehenengo programatzailea jaio zenetik aurtengo abenduaren 10ean 200 urte betetzen direlako, hona hemen Ada Lovelace lehiaketa.","Como homenaje a las mujeres tractoras en el desarrollo de la informática, porque no se las ha tenido en consideración tal como lo merecían, y porque el 10 de diciembre se cumplen 200 años del nacimiento de la primera persona programadora… convocamos el concurso Ada Lovelace.","Como homenaje a las mujeres que han realizado aportaciones en el desarrollo de la informática, por no haber recibido el reconocimiento que merecían, y porque desde que nació el primer programador el 10 de diciembre de este año se cumplen 200 años, he aquí el concurso Ada Lovelace."
ZSM: erreprodukzio-ekipamenduak eta ordu-programatzaileak SIPekin.,Sistema ZSM: equipos reproductores y programadores horarios con SIP.,ZSM: Equipamientos de reproducción y programadores de horas con SIP.
"Adi: bitbloq 1 ikastaroa aurretik egina badaukazu edo berarekin programatzen baldin badakizu, dagoeneko eskarmentua duzun programatzailea zara eta, ondorioz, oso erraza egingo zaizu bitbloq 2 ikastea.",¡Conéctate a tierra que empezamos! Atención: Si ya has realizado el curso de bitbloq 1 o sabes programar con él ya eres un experto programador y aprender bitbloq 2 te resultará muy fácil.,"Atención: si tienes un curso de bitbloq 1 previo o sabes programar con él, eres un programador ya experimentado y, por tanto, te resultará muy fácil aprender bitbloq 2."
"Gigalight Interkonexio optikoko diseinu optiko orokorra da, diseinatu, fabrikatu eta hornitzen dituena Transkriptore optikoak, osagai pasiboak, kable optiko aktiboak, MTP / MPO kableak, laino programatzaileak eta zuzentzaileak, eta modulu optiko koherenteak eta abar, hiru aplikazio nagusi: Data Center eta Cloud Computing, Metro & Broadcast Network, eta Wireless & 5G Optical Network.","Quienes Somos Gigalight Gigalight es un innovador de diseño de interconexión óptica global que diseña, fabrica y suministra transceptores ópticos, componentes pasivos, cables ópticos activos, Cableado MTP / MPO, programadores y verificadores en la nube y módulos Resumen Anual de Trabajo...","Gigalight es un diseño óptico general de interconexión óptica que diseña, fabrica y proporciona transcriptores ópticos, pasivos, cables ópticos activos, MTP / MPO cables, nieblas programadoras y correctoras, y módulos ópticos coherentes, etc., tres aplicaciones principales: Data Center y Cloud Computing, Metro & Broadcast Network, y Wireless & 5G Optical Network."
"Laida Lertxundi zuzendari eta programatzaileak Humor en el cine feminista-queer contemporáneo zikloa aurkeztu zuen. Bestalde, Virginia Villaplana adituak eta consonni kolektibo bilbotarrak Soft zinemagile frantziar handiaren, zine antikolonialistaren aitzindarietako baten, presentzia izan zuen, baita Nastio Mosquito zuzendari eta artista plastiko mozambiketarrarena ere.",La realizadora y programadora Laida Lertxundi presento su ciclo Humor en el cine feminista-queer contemporáneo; la experta Virginia Villaplana y el colectivo bilbaíno consonni presentaron una muestra llamada Soft Fiction. La construcción de narrativas sobre deseos y fantasías sexuales de mujeres. El ciclo American Frames.,"El director y programador Laida Lertxundi presentó el ciclo Humor en el cine feminista-queer contemporane, con presencia de expertos y colectivos bilbaínos Virginia Villa, uno de los pioneros del gran cineasta francés Soft, del cine anticolonialista, así como del director y artista plástico mozambique Nastio Mosquito."
"ROCE 2014 Topaketa kontzertu didaktikoak eta hezkuntza zein musikaren hedakuntzarekin harremandutako bestelako jarduerak sortu eta antolatzearekin interesaturiko erakunde, profesional eta pertsonak biltzeko gune irekia da: interpretatzaileak (musikariak, zuzendariak, aktoreak,...), irakasleak, programatzaileak, kudeatzaileak, musika ikasleak eta abar; eta baita ikuslegoa ere.","El Encuentro ROCE 2014 es un espacio abierto para reunir a instituciones, entidades, profesionales y personas interesadas en la creación y organización de conciertos didácticos y otras acciones","El ROCE 2014 es un espacio abierto para reunir a las entidades, profesionales y personas interesadas en la creación y organización de conciertos didácticos y otras actividades relacionadas con la difusión educativa y musical: intérpretes (músicos, directores, actores...), profesores, programadores, gestores, estudiantes de música, etc. y público."
"DIANA SÁNCHEZ, programatzailea","DIANA SÁNCHEZ, programadora","DIANA SÁNCHEZ, programadora"
"Egoera horrek, eta asistentziari eta jasotako diruari buruzko azalpenak eman beharrak, leku korapilatsuan jartzen ditu programatzaileak proposamen ausartagoak kontratatzeko orduan.","Esto, sumado a la necesidad de rendir cuentas sobre la asistencia y recaudación, pone a los programadores en un lugar complicado a la hora tomar la decisión de contratar propuestas más arriesgadas.","Esta situación, y la necesidad de dar explicaciones sobre la asistencia y el dinero recibido, pone a los programadores en un lugar complicado a la hora de contratar propuestas más atrevidas."
Produkzioaren programatzailea.,Programador de la producción.,Programador de producción.
Zine programatzailea,Programadora de cine,Programador de cine
