Basque (eu),Spanish (es),Traduccion
Erizain batek Pennsylvanian egoitza bat bortxatzeagatik karguak ditu.,Un enfermero fue acusado de violar propiedad privada en Pensilvania.,Un enfermero tiene cargos por allanamiento de morada en una residencia en Pensilvania.
Erizain batek?,¿Un enfermero?,¿Un/a enfermero/a?
Loughren erizaina.,Enfermera Loughren.,Enfermera Loughren
Erizain bikaina da.,Es un excelente enfermero.,Es una enfermera excelente.
Erizainen medikamentu-erretiratze guztiak agertzen dira.,Registra los retiros de medicamentos de todos los enfermeros.,Todas las retiradas de medicamentos de las enfermeras aparecen.
"Garran erizaina, frogak ezkutatzen ari zarela dirudi.","Enfermera, parece que está ocultando evidencia.","Enfermera Garran, parece que estás ocultando pruebas."
Loughren erizaina?,¿Enfermera Loughren?,¿Enfermera Loughren?
Fitxategiak eta elkarrizketatutako erizain bat.,Con los reportes.,Archivos y una enfermera entrevistada.
Non dago erizaina?,¿Dónde está la enfermera?,¿Dónde está la enfermera?
Zure lagun erizainak hitz egin nahiko du?,¿Tu amiga enfermera hablaría con nosotros?,¿Tu amigo/a enfermero/a querrá hablar?
"Mesedez, Linda Garran erizaina izan zen behin.","Vamos, chicos. Linda Garran solía ser enfermera.","Por favor, Linda Garran fue enfermera una vez."
"Poltsak nola pozoitu dituzun dakigu, beste erizainek zintzilikatu zitzaten.",Sabemos que envenenaste las bolsas en el depósito. Otras enfermeras las colgaron.,"Sabemos cómo envenenaste las bolsas, para que otras enfermeras las colgaran."
CULLEN ERIZAIN IZAN ZEN HAMASEI URTEZ.,CULLEN FUE ENFERMERO DURANTE 16 AÑOS.,Cullen fue enfermero durante dieciséis años.
ERIZAIN ONA IZATEN JARRAITZEN DU.,SIGUE SIENDO UNA GRAN ENFERMERA.,Sigue siendo un buen enfermero.
"Bere ama erizain laguntzailea da, ez du asko irabazten.",Su mamá es asistente de enfermería y no tiene dinero de sobra.,"Su madre es auxiliar de enfermería, no gana mucho."
"Trauma osteko estres-nahasmendua daukazula uste baduzu  edo zure osasun mentalari buruz profesional batekin hitz egin nahi baduzu, erizain bat egongo da larunbat goizetan bosgarren hangarrean.","Si crees que podrías padecer estrés postraumático o te gustaría hablar de salud mental con un profesional, los sábados habrá una enfermera en el hangar cinco.","Si crees que tienes trastorno de estrés postraumático o si quieres hablar con un profesional sobre tu salud mental, habrá un/a enfermero/a los sábados por la mañana en el quinto hangar."
Erizain bat eserita dago.,"Allí sentada, una enfermera.",Una enfermera está sentada.
Erizain ingeles bat.,Una enfermera inglesa.,Una enfermera inglesa
Erizain ingelesa izango zara.,Usted debe ser la enfermera inglesa.,Serás enfermera inglesa.
"Erizain bat eta moja bat behar ditut, eta ez zara moja.","Espero a una monja y a una enfermera, y usted no es la monja.","Necesito una enfermera y una monja, y tú no eres una monja."
"Zergatik ez bi erizain, McBrearty doktorea?","¿Por qué no somos dos enfermeras, doctor McBrearty?","¿Por qué no dos enfermeras, Doctor McBrearty?"
"Arreba Michael bigarren erizaina da, Wright andrea.","La hermana Michael es la segunda enfermera, señora Wright.","La hermana Michael es la segunda enfermera, la señora Wright."
"Mila esker, Wright erizaina.","Gracias a usted, enfermera Wright.","Muchas gracias, enfermera Wright."
Zer nolako herri atzeratuak ekartzen du erizain bat horretarako?,¿Qué clase de pueblo atrasado trae a una enfermera para algo así?,¿Qué clase de pueblo atrasado trae a una enfermera para eso?
"Krimean izan ziren erizaina, ezta?",¿No fue enfermera en Crimea?,"Fueron enfermeros en Crimea, ¿verdad?"
Ez du zerikusirik erizaintzarekin.,Esto no tiene nada que ver con la enfermería.,No tiene nada que ver con la enfermería.
Zaintzera etorri den erizaina.,"Como Florence Nightingale, vino a cuidarla.",La enfermera que ha venido a cuidar.
"Wright erizaina zuretzat, neska.",Enfermera Wright para ti.,"La enfermera Wright para ti, chica."
Erizaina da.,Esa es la enfermera.,Es enfermera.
"Gu zalantzan jartzea ez da zure lana, erizaina.","No es su trabajo cuestionarnos, enfermera.","Cuestionarnos no es tu trabajo, enfermera."
"Zientziako aurkikunde handiek, Arkimedesetik Newtoneraino, hasieran magia beltza ziruditen, ezta, erizaina?","Los grandes descubrimientos de la ciencia, desde Arquímedes hasta Newton, siempre parecieron magia negra al principio, ¿no, enfermera?","Los grandes descubrimientos científicos, desde Arquímedes hasta Newton, al principio parecían magia negra, ¿verdad, enfermera?"
Erizaina zara.,Usted es enfermera.,Eres enfermera.
"Akatsa izan da, izugarrizko akatsa, erizain bat hona ekartzea.",Fue un terrible error traer a una enfermera.,"Ha sido un error, un error terrible, traer a una enfermera aquí."
Erizain ingelesa.,Una enfermera inglesa.,Enfermera inglesa
Erizainak ez zuen idatzi.,Ella no escribió eso.,La enfermera no escribió.
batzorde honen langile gisa lanean ari zen erizainari?,que estaba actuando bajo órdenes de este comité.,a la enfermera que trabajaba como empleada de este comité.
Erizain eta senide gehienak bizirik utzi ditu.,Dejó a personal de enfermería y familiares.,Ha dejado vivos a la mayoría de enfermeras y familiares.
Duela hilabete batzuk erizain gisa kontratatu zuten.,El tío fue contratado como enfermero hace meses.,Hace algunos meses la contrataron como enfermera.
- Erizainari susto bat eman nahi nion.,[Maggie] Quería darle un susto a la enfermera.,Quería darle un susto a la enfermera.
"Zorionez, erizaina etxean zegoen.",-Suerte que estaba la enfermera.,"Afortunadamente, la enfermera estaba en casa."
Ez du erizain bat behar.,No necesita una enfermera.,No necesita un enfermero.
Erizain eta suhiltzaile baten alaba.,Hija de una enfermera y un bombero.,Hija de una enfermera y un bombero.
"Usain gogor eta sarkorra zabaldu zen gelan, oroitzapen desatseginak ekarriz: erizainak eta zirujauak gela zuri batean.","El olor pesado, nauseabundo del cloroformo se extendió y trajo recuerdos desagradables de enfermeras y cirujanos en un cuarto blanco con una mesa.","Un olor intenso y penetrante se extendió por la habitación, trayendo recuerdos desagradables: enfermeras y cirujanos en una habitación blanca."
Erizaina bidaliko dut zaintzarekin laguntzeko.,La enfermera le dará instrucciones de cuidado.,Enviaré a la enfermera para ayudar con el cuidado.
